	Unnamed: 0	BataryaGucu	Bluetooth	MikroislemciHizi	CiftHat	OnKameraMP	4G	DahiliBellek	Kalinlik	Agirlik	CekirdekSayisi	ArkaKameraMP	CozunurlukYükseklik	CozunurlukGenislik	RAM	BataryaOmru	3G	Dokunmatik	WiFi	FiyatAraligi	Renk
0	0	1325	Yok	1,9	Yok	2,0	Yok	50	0,1	146	1	10	499	695	2328.0	2	Var	Yok	Yok	Normal	Beyaz
1	1	1046	Var	2,8	Var	0.0	Var	58	0,2	100	8	0	259	1040	3863.0	9	Var	Var	Var	Pahalı	Pembe
2	2	843	Yok	1,3	Var	1.0	Yok	16	0,9	119	7	4	593	732	1734.0	14	Yok	Yok	Var	Ucuz	Mor
3	3	894	Yok	0,5	Var	1,0	Var	50	0,5	199	3	14	1285	1462	3615.0	6	Var	Yok	Var	Pahalı	Turuncu
4	4	936	Yok	1,0	Yok	1.0	Yok	18	0,2	153	3	18	1330	1686	2391.0	3	Var	Var	Var	Normal	Beyaz
5	5	1162	Yok	1,0	Yok	0.0	Yok	50	0,5	104	4	10	332	866	1404.0	15	Var	Var	Var	Ucuz	Beyaz
6	6	1849	Var	0,5	Yok	1,0	Yok	29	0,5	181	7	12	978	1986	3330.0	15	Var	Yok	Var	Pahalı	Gri
7	7	1860	Yok	0,5	Var	2.0	Var	55	0,7	83	6	3	195	799	676.0	4	Var	Yok	Var	Çok Ucuz	Beyaz
8	8	1536	Yok	0,8	Yok	12.0	Yok	13	0,3	105	7	20	22	1634	2020.0	16	Var	Var	Yok	Normal	Sarı
9	9	539	Var	0,6	Var	9,0	Yok	21	0,1	145	7	14	551	599	3597.0	9	Yok	Yok	Yok	Normal	Mavi
10	10	1563	Yok	1,7	Var	10.0	Yok	16	0,1	151	7	13	410	572	3922.0	8	Yok	Yok	Var	Pahalı	Pembe
11	11	1830	Yok	0,5	Yok	0.0	Yok	7	0,9	191	6	12	460	1583	2334.0	14	Yok	Var	Yok	Normal	Mavi
12	12	648	Yok	1,9	Var	4,0	Yok	8	1,0	91	5	19	819	1997	2991.0	4	Yok	Yok	Var	Normal	Mor
13	13	561	Var	2,1	Var	7.0	Var	2	0,1	193	3	13	1055	1294	665.0	4	Var	Var	Yok	Çok Ucuz	Turkuaz
14	14	1197	Var	0,5	Var	9.0	Yok	20	0,1	129	5	10	214	1710	2885.0	14	Var	Var	Var	Normal	Kahverengi
15	15	1081	Var	1,9	Var	13,0	Var	42	0,1	101	7	17	83	816	2456.0	7	Var	Yok	Yok	Ucuz	Yeşil
16	16	1008	Yok	0,8	Yok	11.0	Yok	61	1,0	114	3	15	1077	1122	2009.0	11	Var	Yok	Yok	Ucuz	Mavi
17	17	1520	Var	2,2	Yok	5.0	Var	33	0,5	177	8	18	151	1005	3826.0	13	Var	Var	Var	Pahalı	Kırmızı
18	18	558	Var	2,8	Yok	1,0	Var	49	0,8	142	5	4	997	1605	392.0	8	Var	Var	Var	Çok Ucuz	Turkuaz
19	19	793	Yok	1,0	Var	5.0	Var	30	0,9	133	2	15	1858	1935	2332.0	14	Var	Var	Var	Normal	Mavi
20	20	1260	Var	2,0	Var	2.0	Var	23	0,2	123	7	10	905	1313	2208.0	10	Var	Yok	Var	Normal	Kırmızı
21	21	600	Var	1,8	Yok	9,0	Var	6	0,8	199	2	15	486	1032	3495.0	7	Var	Var	Yok	Normal	Kırmızı
22	22	1884	Yok	1,0	Var	3.0	Yok	24	0,5	149	6	4	1168	1179	1396.0	9	Var	Var	Var	Ucuz	Yeşil
23	23	1600	Yok	2,5	Var	1.0	Yok	19	0,6	88	6	9	831	1713	1179.0	18	Yok	Yok	Var	Ucuz	Siyah
24	24	1068	Yok	1,3	Yok	6,0	Var	52	0,1	97	8	7	994	1500	1436.0	15	Var	Yok	Yok	Ucuz	Turuncu
25	25	914	Var	0,7	Yok	1.0	Var	60	0,9	198	5	4	740	840	3736.0	5	Var	Yok	Yok	Pahalı	Mavi
26	26	605	Yok	1,5	Yok	9.0	Var	18	0,9	162	2	14	329	656	2301.0	8	Var	Yok	Yok	Ucuz	Gri
27	27	1368	Yok	3,0	Var	10,0	Yok	50	0,2	97	7	18	698	829	2496.0	5	Yok	Var	Var	Normal	Kahverengi
28	28	1068	Yok	0,7	Var	9.0	Yok	51	0,5	124	4	15	1405	1910	550.0	6	Var	Var	Yok	Çok Ucuz	Sarı
29	29	950	Var	0,5	Yok	9.0	Yok	55	0,1	156	5	10	774	843	1095.0	13	Yok	Var	Yok	Çok Ucuz	Siyah
30	30	926	Var	0,8	Yok	6,0	Var	59	0,8	161	7	14	84	793	256.0	2	Var	Yok	Var	Çok Ucuz	Pembe
31	31	1777	Yok	2,2	Var	0.0	Yok	15	0,2	100	4	7	553	874	1552.0	10	Var	Var	Yok	Ucuz	Mor
32	32	1801	Yok	0,5	Var	6.0	Yok	52	0,9	120	6	10	100	1708	258.0	9	Var	Yok	Yok	Çok Ucuz	Turuncu
33	33	843	Var	0,5	Yok	1,0	Var	56	0,1	147	5	17	140	800	2341.0	20	Var	Var	Var	Ucuz	Turkuaz
34	34	501	Yok	2,3	Yok	12.0	Var	54	0,3	131	4	19	504	1089	2346.0	2	Var	Yok	Var	Ucuz	Gri
35	35	1044	Yok	1,8	Yok	4.0	Var	12	0,7	104	6	5	1230	1263	1794.0	19	Var	Var	Var	Ucuz	Turuncu
36	36	545	Yok	0,5	Yok	0,0	Var	11	0,3	131	3	1	381	1452	616.0	19	Var	Var	Var	Çok Ucuz	Siyah
